"rt" "key_press" "correct_response" "correct" "condition" "stim_color" "stim_word" "session" "subj" "stim" "rtoutlier"
814 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
868 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
403 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
816 71 71 "TRUE" "incongruent" "green" "blue" "2" 10 "A" NA
558 71 71 "TRUE" "incongruent" "green" "red" "2" 10 "A" NA
550 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
771 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
662 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
460 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
755 82 82 "TRUE" "incongruent" "red" "blue" "2" 10 "A" NA
688 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
998 66 66 "TRUE" "incongruent" "blue" "green" "2" 10 "A" NA
661 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
684 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
1053 71 71 "true" "incongruent" "green" "red" "1" 11 "A" NA
473 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
721 66 82 "false" "incongruent" "red" "blue" "1" 11 "A" NA
621 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
643 66 66 "true" "incongruent" "blue" "red" "1" 11 "A" NA
617 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
901 66 66 "true" "incongruent" "blue" "green" "1" 11 "A" NA
884 66 66 "true" "incongruent" "blue" "red" "1" 11 "A" NA
921 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
740 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
707 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
1114 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
462 71 71 "true" "incongruent" "green" "red" "1" 11 "A" NA
554 66 66 "true" "incongruent" "blue" "red" "1" 11 "A" NA
792 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
974 71 82 "false" "incongruent" "red" "green" "1" 11 "A" NA
916 82 82 "true" "incongruent" "red" "blue" "1" 11 "A" NA
458 82 82 "true" "incongruent" "red" "blue" "1" 11 "A" NA
396 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
386 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
1215 71 71 "true" "incongruent" "green" "blue" "1" 11 "A" NA
596 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
927 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
1299 71 71 "true" "incongruent" "green" "red" "1" 11 "A" NA
898 66 66 "true" "incongruent" "blue" "red" "1" 11 "A" NA
679 71 71 "true" "incongruent" "green" "red" "1" 11 "A" NA
877 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
1217 66 66 "true" "incongruent" "blue" "green" "1" 11 "A" NA
1145 82 82 "true" "incongruent" "red" "blue" "1" 11 "A" NA
533 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
1051 71 71 "true" "incongruent" "green" "red" "1" 11 "A" NA
729 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
945 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
938 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
737 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
919 66 66 "true" "incongruent" "blue" "green" "1" 11 "A" NA
1115 71 71 "true" "incongruent" "green" "blue" "1" 11 "A" NA
891 82 82 "true" "incongruent" "red" "green" "1" 11 "A" NA
782 82 82 "true" "incongruent" "red" "blue" "1" 11 "A" NA
740 71 66 "false" "incongruent" "blue" "green" "1" 11 "A" NA
715 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
817 71 71 "true" "incongruent" "green" "blue" "1" 11 "A" NA
564 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
520 66 66 "true" "incongruent" "blue" "green" "1" 11 "A" NA
788 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
866 82 82 "true" "incongruent" "red" "green" "1" 11 "A" NA
592 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
662 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
1268 82 82 "true" "incongruent" "red" "blue" "1" 11 "A" NA
634 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
528 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
845 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
620 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
1474 66 66 "true" "incongruent" "blue" "red" "1" 11 "A" NA
589 71 71 "true" "incongruent" "green" "blue" "1" 11 "A" NA
1188 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
969 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
815 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
819 82 82 "true" "incongruent" "red" "blue" "1" 11 "A" NA
1362 66 66 "true" "incongruent" "blue" "red" "1" 11 "A" NA
607 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
741 71 71 "true" "incongruent" "green" "blue" "1" 11 "A" NA
915 71 71 "true" "incongruent" "green" "red" "1" 11 "A" NA
903 66 66 "true" "incongruent" "blue" "green" "1" 11 "A" NA
517 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
1292 66 66 "true" "incongruent" "blue" "red" "1" 11 "A" NA
1113 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
928 66 66 "true" "incongruent" "blue" "green" "1" 11 "A" NA
1286 82 82 "true" "incongruent" "red" "blue" "1" 11 "A" NA
478 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
1045 71 71 "true" "incongruent" "green" "blue" "1" 11 "A" NA
595 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
656 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
670 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
1052 71 71 "true" "incongruent" "green" "red" "1" 11 "A" NA
532 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
633 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
711 82 82 "true" "congruent" "red" "red" "1" 11 "A" NA
698 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
1222 71 71 "true" "incongruent" "green" "blue" "1" 11 "A" NA
1122 82 82 "true" "incongruent" "red" "green" "1" 11 "A" NA
455 82 82 "true" "incongruent" "red" "green" "1" 11 "A" NA
557 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
556 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
633 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
936 82 82 "true" "incongruent" "red" "green" "1" 11 "A" NA
1025 71 71 "true" "incongruent" "green" "red" "1" 11 "A" NA
648 66 66 "true" "congruent" "blue" "blue" "1" 11 "A" NA
1085 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
-1 -1 66 "false" "incongruent" "blue" "red" "1" 11 "A" TRUE
834 82 82 "true" "incongruent" "red" "green" "1" 11 "A" NA
784 66 71 "false" "incongruent" "green" "blue" "1" 11 "A" NA
829 82 82 "true" "incongruent" "red" "green" "1" 11 "A" NA
652 66 66 "true" "incongruent" "blue" "green" "1" 11 "A" NA
911 71 71 "true" "congruent" "green" "green" "1" 11 "A" NA
638 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
741 82 82 "true" "incongruent" "red" "green" "2" 11 "S" NA
815 66 66 "true" "incongruent" "blue" "green" "2" 11 "S" NA
1015 82 82 "true" "incongruent" "red" "green" "2" 11 "S" NA
645 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
979 82 82 "true" "incongruent" "red" "blue" "2" 11 "S" NA
497 82 82 "true" "incongruent" "red" "blue" "2" 11 "S" NA
733 71 71 "true" "incongruent" "green" "red" "2" 11 "S" NA
1089 71 71 "true" "incongruent" "green" "red" "2" 11 "S" NA
1183 71 71 "true" "incongruent" "green" "red" "2" 11 "S" NA
989 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
1209 66 66 "true" "congruent" "blue" "blue" "2" 11 "S" NA
838 82 82 "true" "incongruent" "red" "green" "2" 11 "S" NA
1268 66 66 "true" "incongruent" "blue" "green" "2" 11 "S" NA
858 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
670 82 82 "true" "congruent" "red" "red" "2" 11 "S" NA
756 66 66 "true" "incongruent" "blue" "green" "2" 11 "S" NA
-1 -1 82 "false" "incongruent" "red" "blue" "2" 11 "S" TRUE
933 66 66 "true" "incongruent" "blue" "red" "2" 11 "S" NA
831 66 66 "true" "incongruent" "blue" "green" "2" 11 "S" NA
867 71 71 "true" "incongruent" "green" "blue" "2" 11 "S" NA
796 82 82 "true" "incongruent" "red" "green" "2" 11 "S" NA
898 71 71 "true" "congruent" "green" "green" "2" 11 "S" NA
998 82 82 "true" "incongruent" "red" "green" "2" 11 "S" NA
787 66 66 "true" "incongruent" "blue" "red" "2" 11 "S" NA
